ts,cpu_percent,rss_mb,power_w,energy_j_total
1759843454.3086889,12.00,1718.37,7.640,5063.606666
1759843455.3088992,34.00,1718.37,10.629,5074.238048
1759843456.308937,10.00,1718.37,7.416,5081.654410
1759843457.308938,32.00,1718.37,10.511,5092.165248
1759843458.3088715,7.00,1718.37,9.140,5101.304812
1759843459.3087995,53.00,1718.37,11.835,5113.138461
1759843460.3086545,36.00,1718.37,9.950,5123.086555
1759843461.308921,28.00,1718.37,9.422,5132.511458
1759843462.3089209,9.00,1718.37,7.601,5140.112940
1759843463.3089108,18.00,1718.37,8.177,5148.289921
1759843464.308896,11.00,1718.37,7.628,5155.917953
1759843465.3088682,46.00,1718.37,11.136,5167.053484
1759843466.3087382,11.00,1718.37,7.718,5174.770932
1759843467.3087492,52.00,1718.37,12.107,5186.878079
1759843468.3087358,14.00,1718.37,8.384,5195.261786
1759843469.3087358,19.00,1718.37,8.603,5203.864425
1759843470.308663,22.00,1718.37,8.502,5212.366051
1759843471.3086607,65.00,1718.37,12.472,5224.838187
1759843472.3088624,7.00,1718.37,8.049,5232.888764
1759843473.3087306,33.00,1718.37,11.510,5244.396975
1759843474.3086562,25.00,1718.37,8.822,5253.218668
1759843475.3086913,60.00,1718.37,12.247,5265.466074
1759843476.308693,7.00,1718.37,7.088,5272.553946
1759843477.3088973,30.00,1718.37,10.579,5283.134730
1759843478.308911,11.00,1718.37,7.941,5291.075627
1759843479.3086946,35.00,1718.37,9.882,5300.955241
1759843480.3089166,19.00,1718.37,8.747,5309.704547
1759843481.308706,30.00,1718.37,9.679,5319.381524
1759843482.3088086,3.00,1718.37,6.873,5326.255103
1759843483.3087363,19.00,1718.37,8.885,5335.139601
1759843484.3088067,9.00,1718.37,7.356,5342.496394
1759843485.3087997,43.00,1718.37,10.865,5353.361295
1759843486.3088102,15.00,1718.37,8.030,5361.391365
1759843487.3088064,28.00,1718.37,9.877,5371.268110
1759843488.3086905,15.00,1718.37,10.069,5381.336199
1759843489.3087318,15.00,1718.37,8.042,5389.378964
1759843490.308738,7.00,1718.37,7.143,5396.522440
1759843491.308688,46.00,1718.37,11.049,5407.570812
